date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-01-14 10:03:00,10.7,10.67,10.69,10.66,2765.0,2952695.0,10.623,10.5744,
2026-01-14 10:04:00,10.67,10.71,10.73,10.68,2853.0,3053999.0,10.625,10.5792,
2026-01-14 10:05:00,10.71,10.69,10.72,10.69,1581.0,1690956.0,10.625,10.5834,
2026-01-14 10:06:00,10.69,10.68,10.68,10.67,2045.0,2182488.0,10.626,10.587800000000001,
2026-01-14 10:07:00,10.68,10.68,10.68,10.66,1171.0,1249455.0,10.627,10.5922,
2026-01-14 10:08:00,10.68,10.67,10.69,10.66,7132.0,7614279.0,10.629,10.5964,
2026-01-14 10:09:00,10.67,10.66,10.67,10.65,1968.0,2098088.0,10.63,10.6002,
2026-01-14 10:10:00,10.66,10.66,10.67,10.65,874.0,931898.0,10.63,10.604000000000001,
2026-01-14 10:11:00,10.66,10.65,10.66,10.64,3231.0,3440048.0,10.63,10.6078,
2026-01-14 10:12:00,10.65,10.67,10.67,10.64,1683.0,1793453.0,10.63,10.611600000000001,
2026-01-14 10:13:00,10.67,10.68,10.69,10.67,2074.0,2215081.0,10.631,10.615599999999999,
2026-01-14 10:14:00,10.68,10.67,10.68,10.66,991.0,1057055.0,10.631,10.6192,
2026-01-14 10:15:00,10.67,10.68,10.68,10.66,1845.0,1967721.0,10.632,10.623,
2026-01-14 10:16:00,10.68,10.67,10.69,10.67,755.0,806179.0,10.632,10.626800000000001,
2026-01-14 10:17:00,10.67,10.69,10.69,10.67,1140.0,1217727.0,10.632,10.631000000000002,
2026-01-14 10:18:00,10.69,10.69,10.69,10.68,759.0,811257.0,10.633,10.6352,
2026-01-14 10:19:00,10.69,10.68,10.7,10.67,1981.0,2117221.0,10.633,10.638800000000002,
2026-01-14 10:20:00,10.68,10.68,10.69,10.67,1222.0,1304643.0,10.634,10.6414,
2026-01-14 10:21:00,10.68,10.69,10.69,10.68,1049.0,1120990.0,10.634,10.643400000000002,
2026-01-14 10:22:00,10.69,10.7,10.7,10.68,1459.0,1559096.0,10.635,10.645,
2026-01-14 10:23:00,10.7,10.7,10.71,10.69,1914.0,2048189.0,10.635,10.648400000000002,
2026-01-14 10:24:00,10.7,10.73,10.73,10.7,1351.0,1447956.0,10.636,10.6524,
2026-01-14 10:25:00,10.73,10.74,10.74,10.73,1776.0,1906453.0,10.637,10.657399999999997,
2026-01-14 10:26:00,10.74,10.73,10.75,10.72,4382.0,4704276.0,10.64,10.661799999999998,
2026-01-14 10:27:00,10.73,10.72,10.73,10.71,1479.0,1585138.0,10.64,10.6646,
2026-01-14 10:28:00,10.72,10.73,10.73,10.72,1022.0,1096357.0,10.641,10.6678,
2026-01-14 10:29:00,10.73,10.72,10.73,10.7,1045.0,1119728.0,10.641,10.6714,
2026-01-14 10:30:00,10.72,10.7,10.72,10.7,1772.0,1896787.0,10.642,10.6746,
2026-01-14 10:31:00,10.7,10.68,10.71,10.68,1687.0,1802840.0,10.642,10.677999999999999,
2026-01-14 10:32:00,10.68,10.67,10.68,10.67,1071.0,1143702.0,10.643,10.6808,
2026-01-14 10:33:00,10.67,10.68,10.68,10.67,1402.0,1497191.0,10.643,10.683800000000002,
2026-01-14 10:34:00,10.68,10.69,10.69,10.67,933.0,996814.0,10.643,10.686,
2026-01-14 10:35:00,10.69,10.7,10.7,10.68,2564.0,2739160.0,10.644,10.688400000000001,
2026-01-14 10:36:00,10.7,10.67,10.7,10.67,1009.0,1077942.0,10.644,10.69,
2026-01-14 10:37:00,10.67,10.68,10.68,10.67,1280.0,1366730.0,10.644,10.6908,
2026-01-14 10:38:00,10.68,10.68,10.69,10.68,533.0,569365.0,10.644,10.691600000000001,
2026-01-14 10:39:00,10.68,10.67,10.68,10.67,1053.0,1124247.0,10.644,10.692,
2026-01-14 10:40:00,10.67,10.67,10.7,10.67,2367.0,2530932.0,10.645,10.692,
2026-01-14 10:41:00,10.67,10.68,10.68,10.67,691.0,737911.0,10.645,10.6926,
2026-01-14 10:42:00,10.68,10.67,10.68,10.67,1588.0,1695017.0,10.645,10.6928,
2026-01-14 10:43:00,10.67,10.68,10.69,10.67,808.0,863079.0,10.645,10.6928,
2026-01-14 10:44:00,10.68,10.72,10.72,10.68,732.0,783281.0,10.646,10.693400000000002,
2026-01-14 10:45:00,10.72,10.71,10.72,10.71,2593.0,2778644.0,10.647,10.6932,
2026-01-14 10:46:00,10.71,10.72,10.72,10.71,523.0,560643.0,10.647,10.693399999999999,
2026-01-14 10:47:00,10.72,10.72,10.72,10.71,830.0,889173.0,10.647,10.693,
2026-01-14 10:48:00,10.72,10.71,10.71,10.7,2184.0,2338215.0,10.648,10.693000000000001,
2026-01-14 10:49:00,10.71,10.7,10.72,10.7,298.0,319245.0,10.648,10.6918,
2026-01-14 10:50:00,10.7,10.71,10.71,10.7,258.0,276236.0,10.648,10.691200000000002,
2026-01-14 10:51:00,10.71,10.7,10.71,10.7,523.0,559795.0,10.648,10.690999999999999,10.56835
2026-01-14 10:52:00,10.7,10.72,10.72,10.7,724.0,775394.0,10.648,10.691399999999998,10.56915
2026-01-14 10:53:00,10.72,10.71,10.71,10.7,773.0,827743.0,10.648,10.6922,10.5698
2026-01-14 10:54:00,10.71,10.7,10.71,10.69,1254.0,1342294.0,10.649,10.691999999999998,10.570450000000001
2026-01-14 10:55:00,10.7,10.73,10.73,10.71,688.0,737556.0,10.649,10.6928,10.5713
2026-01-14 10:56:00,10.73,10.72,10.72,10.7,1487.0,1592588.0,10.649,10.693599999999998,10.5721
2026-01-14 10:57:00,10.72,10.72,10.72,10.71,554.0,593870.0,10.65,10.6944,10.572849999999999
2026-01-14 10:58:00,10.72,10.71,10.72,10.71,620.0,664078.0,10.65,10.6952,10.573550000000001
2026-01-14 10:59:00,10.71,10.71,10.71,10.7,923.0,988438.0,10.65,10.6962,10.574399999999999
2026-01-14 11:00:00,10.71,10.71,10.71,10.7,1202.0,1286787.0,10.65,10.6972,10.575149999999999
2026-01-14 11:01:00,10.71,10.71,10.71,10.7,292.0,312655.0,10.651,10.698400000000001,10.57605
2026-01-14 11:02:00,10.71,10.71,10.71,10.7,381.0,407899.0,10.651,10.699199999999998,10.577
2026-01-14 11:03:00,10.71,10.72,10.73,10.7,2256.0,2417811.0,10.651,10.7,10.578000000000001
2026-01-14 11:04:00,10.72,10.74,10.74,10.72,1399.0,1501327.0,10.652,10.701400000000001,10.5792
2026-01-14 11:05:00,10.74,10.72,10.74,10.72,615.0,660013.0,10.652,10.7022,10.5803
2026-01-14 11:06:00,10.72,10.73,10.73,10.72,1234.0,1323771.0,10.653,10.703400000000002,10.581499999999998
2026-01-14 11:07:00,10.73,10.73,10.73,10.72,1099.0,1178602.0,10.653,10.704199999999998,10.58265
2026-01-14 11:08:00,10.73,10.73,10.73,10.72,798.0,855873.0,10.653,10.705,10.58375
2026-01-14 11:09:00,10.73,10.72,10.73,10.71,1505.0,1613448.0,10.654,10.7058,10.584850000000001
2026-01-14 11:10:00,10.72,10.71,10.72,10.71,342.0,366460.0,10.654,10.7064,10.58595
2026-01-14 11:11:00,10.71,10.71,10.72,10.7,862.0,923095.0,10.654,10.706799999999998,10.5871
2026-01-14 11:12:00,10.71,10.69,10.71,10.69,2088.0,2234191.0,10.654,10.706600000000002,10.588099999999999
2026-01-14 11:13:00,10.69,10.69,10.7,10.69,858.0,917260.0,10.655,10.706399999999999,10.58905
2026-01-14 11:14:00,10.69,10.7,10.7,10.69,714.0,763908.0,10.655,10.7058,10.590150000000001
2026-01-14 11:15:00,10.7,10.69,10.7,10.69,413.0,441862.0,10.655,10.7048,10.5912
2026-01-14 11:16:00,10.69,10.68,10.7,10.67,1897.0,2027153.0,10.655,10.703800000000001,10.5922
2026-01-14 11:17:00,10.68,10.68,10.68,10.67,556.0,593516.0,10.655,10.703,10.5932
2026-01-14 11:18:00,10.68,10.68,10.68,10.67,395.0,421624.0,10.655,10.702,10.594250000000002
2026-01-14 11:19:00,10.68,10.68,10.68,10.67,306.0,326683.0,10.655,10.701199999999998,10.59525
2026-01-14 11:20:00,10.68,10.68,10.68,10.67,453.0,483609.0,10.655,10.700800000000001,10.5963
2026-01-14 11:21:00,10.68,10.67,10.68,10.67,1038.0,1107592.0,10.655,10.7006,10.597349999999999
2026-01-14 11:22:00,10.67,10.67,10.67,10.66,313.0,333680.0,10.655,10.7006,10.59845
2026-01-14 11:23:00,10.67,10.66,10.67,10.66,255.0,271958.0,10.655,10.7002,10.59935
2026-01-14 11:24:00,10.66,10.66,10.67,10.66,609.0,649600.0,10.655,10.6996,10.6002
2026-01-14 11:25:00,10.66,10.67,10.67,10.66,1158.0,1234770.0,10.655,10.698999999999998,10.6011
2026-01-14 11:26:00,10.67,10.67,10.67,10.66,442.0,471542.0,10.655,10.699000000000002,10.601999999999999
2026-01-14 11:27:00,10.67,10.67,10.68,10.67,385.0,410794.0,10.655,10.6988,10.603
2026-01-14 11:28:00,10.67,10.67,10.67,10.66,437.0,466242.0,10.655,10.698599999999999,10.60395
2026-01-14 11:29:00,10.67,10.67,10.67,10.66,688.0,733721.0,10.655,10.6986,10.6049
2026-01-14 11:30:00,10.67,10.68,10.68,10.66,1919.0,2047356.0,10.656,10.698799999999999,10.60585
2026-01-14 13:01:00,10.68,10.67,10.69,10.65,8930.0,9529706.0,10.656,10.6986,10.60675
2026-01-14 13:02:00,10.67,10.59,10.64,10.59,5059.0,5373458.0,10.655,10.697000000000001,10.60725
2026-01-14 13:03:00,10.59,10.58,10.59,10.55,2187.0,2312191.0,10.655,10.695,10.6076
2026-01-14 13:04:00,10.58,10.55,10.59,10.55,2332.0,2465613.0,10.654,10.6916,10.607850000000001
2026-01-14 13:05:00,10.55,10.59,10.6,10.55,1602.0,1695212.0,10.653,10.689200000000001,10.60825
2026-01-14 13:06:00,10.59,10.58,10.59,10.57,1899.0,2010321.0,10.653,10.6864,10.6086
2026-01-14 13:07:00,10.58,10.56,10.59,10.56,2739.0,2897087.0,10.652,10.6832,10.608850000000002
2026-01-14 13:08:00,10.56,10.53,10.57,10.53,2815.0,2970479.0,10.651,10.679599999999999,10.60895
2026-01-14 13:09:00,10.53,10.54,10.55,10.51,3289.0,3465684.0,10.65,10.676400000000001,10.60905
2026-01-14 13:10:00,10.54,10.54,10.55,10.53,1844.0,1944323.0,10.649,10.673,10.609199999999998
2026-01-14 13:11:00,10.54,10.55,10.56,10.54,1806.0,1905293.0,10.648,10.67,10.60935
2026-01-14 13:12:00,10.55,10.55,10.58,10.55,1476.0,1559736.0,10.648,10.6666,10.609549999999999
2026-01-14 13:13:00,10.55,10.54,10.56,10.54,2450.0,2585404.0,10.647,10.6632,10.609650000000002
2026-01-14 13:14:00,10.54,10.53,10.55,10.53,1707.0,1799116.0,10.646,10.6598,10.609749999999998
2026-01-14 13:15:00,10.53,10.5,10.54,10.5,1889.0,1986609.0,10.645,10.6552,10.6097
2026-01-14 13:16:00,10.5,10.48,10.5,10.48,4248.0,4457721.0,10.643,10.6504,10.609449999999999
2026-01-14 13:17:00,10.48,10.5,10.51,10.47,4233.0,4437756.0,10.641,10.645999999999999,10.60925
2026-01-14 13:18:00,10.5,10.5,10.5,10.49,1883.0,1976352.0,10.64,10.641799999999998,10.60905
2026-01-14 13:19:00,10.5,10.52,10.53,10.5,2202.0,2314843.0,10.639,10.638,10.609000000000002
2026-01-14 13:20:00,10.52,10.52,10.52,10.51,1034.0,1086980.0,10.638,10.6342,10.608999999999998
2026-01-14 13:21:00,10.52,10.53,10.54,10.51,1009.0,1061778.0,10.638,10.6306,10.60895
